Date,Type,Out,In,Total
20_Sept_2010,Honeybee,156,96,252
20_Sept_2010,Butterfly,47,6,53
26_Sept_2010,Honeybee,147,86,233
26_Sept_2010,Butterfly,37,3,40
26_Sept_2010,Honeybee,173,96,269
26_Sept_2010,Butterfly,43,4,47
5_Oct_2010,Honeybee,112,67,179
5_Oct_2010,Butterfly,42,7,49
12_Oct_2010,Honeybee,194,163,357
12_Oct_2010,Butterfly,87,10,97
